,dataset,dinov3_vitb16_mean,dinov3_vitb16_std
0,IDC,0.48257500000000003,0.0690254074598622
1,PRAD,0.35285,0.03975000000000001
2,PAAD,0.38966666666666666,0.06950752157540617
3,SKCM,0.48765000000000003,0.06655000000000003
4,COAD,0.26475000000000004,0.007349999999999995
5,READ,0.09045,0.08465
6,CCRCC,0.22218333333333337,0.03592289969117502
7,LUNG,0.5048999999999999,0.003500000000000003
8,LYMPH_IDC,0.24037499999999998,0.04663321643421135
