,dataset,uni_v2_mean,uni_v2_std
0,IDC,0.5897749999999999,0.08120780057974726
1,PRAD,0.3567,0.049500000000000016
2,PAAD,0.5000333333333333,0.039495175514091464
3,SKCM,0.6611,0.014900000000000024
4,COAD,0.30179999999999996,0.003700000000000009
5,READ,0.2226,0.037500000000000006
6,CCRCC,0.2639833333333333,0.046700050559097074
7,LUNG,0.55885,0.013149999999999995
8,LYMPH_IDC,0.27280000000000004,0.03990319536077281
