,dataset,dinov3_vitb16_mean,dinov3_vitb16_std
0,IDC,0.4476,0.0434764878986332
1,PRAD,0.22295,0.08075000000000002
2,PAAD,0.342,0.06775903383805489
3,SKCM,0.4195,0.04719999999999999
4,COAD,0.1491,0.07640000000000001
5,READ,0.09730000000000001,0.04950000000000001
6,CCRCC,0.2528333333333333,0.0617339092845703
7,LUNG,0.40080000000000005,0.0068000000000000005
8,LYMPH_IDC,0.24097500000000002,0.03903372740336235
