,dataset,dinov3_vitl16_mean,dinov3_vitl16_std
0,IDC,0.49105,0.05139068495359835
1,PRAD,0.37115,0.017449999999999993
2,PAAD,0.37379999999999997,0.05777542730261714
3,SKCM,0.5474,0.06300000000000003
4,COAD,0.25105,0.029849999999999988
5,READ,0.12585,0.05235
6,CCRCC,0.2172166666666667,0.05514155772998157
7,LUNG,0.50245,0.01604999999999998
8,LYMPH_IDC,0.244775,0.05291230362590539
